212:Date,Filter,Position,Lidar,Sonar
663:,False,-145.71428571428572,51.79608996539793,55.480399999999996,
663:,False,-150.0,57.083183520599256,54.4336,
663:,False,-154.28571428571428,56.48148514851486,55.480399999999996,
663:,False,-158.57142857142858,55.47390243902439,56.5272,
663:,False,-162.85714285714286,53.07941176470589,56.5272,
158:,False,-167.14285714285714,53.85857142857143,55.480399999999996,
158:,False,-171.42857142857144,55.06272727272728,56.5272,
158:,False,-175.71428571428572,54.818405797101455,56.5272,
158:,False,-180.0,51.5748275862069,55.480399999999996,
159:,False,-184.2857142857143,54.095949820788526,56.5272,
654:,False,-188.57142857142858,54.33503597122303,54.4336,
654:,False,-192.85714285714286,54.095949820788526,55.480399999999996,
654:,False,-197.14285714285717,54.899649334945586,56.5272,
654:,False,-201.42857142857144,52.16828306264501,55.480399999999996,
654:,False,-205.71428571428572,54.095949820788526,56.5272,
166:,False,-210.00000000000003,55.97398034398035,56.5272,
166:,False,-214.2857142857143,53.31122786304605,56.5272,
166:,False,-218.57142857142858,53.70125890736342,56.5272,
166:,False,-222.85714285714286,52.849226260257915,56.5272,
166:,False,-227.14285714285714,52.393678696158325,55.480399999999996,
661:,False,-231.42857142857142,53.70125890736342,56.5272,
661:,False,-235.71428571428572,52.92577464788733,55.480399999999996,
661:,False,-240.00000000000003,53.70125890736342,55.480399999999996,
661:,False,-244.28571428571428,50.9201023890785,56.5272,
661:,False,-248.57142857142858,53.62288256227759,55.480399999999996,
158:,False,-252.8571428571429,52.696666666666665,56.5272,
158:,False,-257.14285714285717,53.00250293772033,55.480399999999996,
158:,False,-261.42857142857144,52.24324041811847,55.480399999999996,
158:,False,-265.7142857142857,53.23377358490567,55.480399999999996,
158:,False,-270.0,53.31122786304605,55.480399999999996,
670:,False,-265.7142857142857,54.17545454545455,55.480399999999996,
670:,False,-261.42857142857144,52.46916083916084,55.480399999999996,
670:,False,-257.14285714285717,54.899649334945586,56.5272,
670:,False,-252.8571428571429,51.64841196777906,55.480399999999996,
670:,False,-248.57142857142858,52.696666666666665,56.5272,
165:,False,-244.28571428571428,52.393678696158325,55.480399999999996,
165:,False,-240.00000000000003,53.93750893921335,55.480399999999996,
165:,False,-235.71428571428572,51.79608996539793,56.5272,
166:,False,-231.42857142857142,53.00250293772033,55.480399999999996,
166:,False,-227.14285714285714,51.5748275862069,55.480399999999996,
661:,False,-222.85714285714286,54.2551497005988,55.480399999999996,
661:,False,-218.57142857142858,54.01663484486874,55.480399999999996,
661:,False,-214.2857142857143,52.696666666666665,55.480399999999996,
